Date,Open,High,Low,Close,Adj Close,Volume
2020-09-22,2.773688,2.994370,2.668603,2.915519,2.915519,18556523
2020-09-23,2.915482,3.068649,2.728075,2.846996,2.846996,14416287
2020-09-24,2.846996,3.253473,2.797281,3.151377,3.151377,16989026
2020-09-25,3.159573,3.271722,2.913430,3.191359,3.191359,13961117
2020-09-26,3.193931,3.230423,3.039811,3.139166,3.139166,8877567
2020-09-27,3.139166,3.173327,3.011119,3.157870,3.157870,7595739
2020-09-28,3.157870,3.211952,2.940783,2.957845,2.957845,9044326
2020-09-29,2.958614,3.019802,2.903841,2.952577,2.952577,6798646
2020-09-30,2.949258,2.985375,2.838151,2.900070,2.900070,5750638
2020-10-01,2.899522,2.990474,2.660545,2.866905,2.866905,8836052
2020-10-02,null,null,null,null,null,null
2020-10-03,null,null,null,null,null,null
2020-10-04,null,null,null,null,null,null
2020-10-05,2.524608,2.667774,2.468980,2.658379,2.658379,6037218
2020-10-06,2.657221,2.660251,2.147996,2.174532,2.174532,8229546
2020-10-07,2.177133,2.394087,2.098173,2.304585,2.304585,10241008
2020-10-08,2.305309,2.449166,2.030087,2.373238,2.373238,13415931
2020-10-09,null,null,null,null,null,null
2020-10-10,2.536933,2.594095,2.403172,2.406090,2.406090,8842884
2020-10-11,2.407367,2.457566,2.344921,2.426578,2.426578,7170647
2020-10-12,null,null,null,null,null,null
2020-10-13,null,null,null,null,null,null
2020-10-14,2.408196,2.436614,2.246257,2.314635,2.314635,9436239
2020-10-15,2.314800,2.335796,2.203418,2.266436,2.266436,8332483
2020-10-16,2.265200,2.265671,2.127921,2.149386,2.149386,13637728
2020-10-17,2.145636,2.238305,2.132409,2.201843,2.201843,6612612
2020-10-18,2.202750,2.248846,2.178327,2.214267,2.214267,6294162
2020-10-19,2.213372,2.213512,2.053211,2.058080,2.058080,8248860
2020-10-20,2.058102,2.097861,1.854154,1.888672,1.888672,13129043
2020-10-21,1.888612,2.066206,1.861235,1.890378,1.890378,19275509
2020-10-22,1.890372,2.082434,1.889817,1.955653,1.955653,11445663
2020-10-23,1.957068,1.984771,1.853310,1.960035,1.960035,11497445
2020-10-24,1.960035,1.961650,1.882344,1.911828,1.911828,7581827
2020-10-25,1.911828,1.922942,1.768644,1.787459,1.787459,9092334
2020-10-26,1.787459,1.862990,1.629365,1.685466,1.685466,13396736
2020-10-27,1.685466,1.745403,1.605287,1.710232,1.710232,14384427
2020-10-28,1.710232,1.719027,1.394572,1.490053,1.490053,17089719
2020-10-29,1.490053,1.566892,1.412426,1.428936,1.428936,8024138
2020-10-30,1.428936,1.467319,1.342213,1.441336,1.441336,8528336
2020-10-31,1.441336,1.549327,1.429894,1.540700,1.540700,6449388
2020-11-01,1.540700,1.637903,1.513543,1.599840,1.599840,6877557
2020-11-02,1.599840,1.630180,1.467695,1.474072,1.474072,6366346
2020-11-03,1.474072,1.480501,1.412186,1.412234,1.412234,6536977
2020-11-04,1.412234,1.412898,1.281868,1.392255,1.392255,11406316
2020-11-05,1.392255,1.486170,1.303825,1.405218,1.405218,8924132
2020-11-06,1.405218,1.940707,1.400011,1.913740,1.913740,22547497
2020-11-07,1.913740,2.481369,1.844831,2.031964,2.031964,51426100
2020-11-08,2.031964,2.264779,1.974402,2.156598,2.156598,25931043
2020-11-09,2.156598,2.189313,1.958753,2.028652,2.028652,18210626
2020-11-10,2.028652,2.307988,2.012321,2.247987,2.247987,16170833
2020-11-11,2.247987,2.284141,1.974165,2.002125,2.002125,13877949
2020-11-12,2.002125,2.050298,1.831728,1.899138,1.899138,11506048
2020-11-13,1.899138,2.061116,1.899138,2.020792,2.020792,11621744
2020-11-14,2.020792,2.033491,1.875279,1.917016,1.917016,8134593
2020-11-15,1.917016,2.209059,1.916848,2.043234,2.043234,18621333
2020-11-16,2.043234,2.360211,1.994853,2.255355,2.255355,22156135
2020-11-17,2.281080,2.318186,2.132590,2.202181,2.202181,17074175
2020-11-18,2.202181,2.205922,2.012693,2.115029,2.115029,14629648
2020-11-19,2.115029,2.175022,2.018166,2.076769,2.076769,10155987
2020-11-20,2.076769,2.230391,2.056972,2.095392,2.095392,11113990
2020-11-21,2.095392,2.498828,2.048524,2.382205,2.382205,20288343
2020-11-22,2.382205,2.403821,2.053938,2.144845,2.144845,16416065
2020-11-23,2.144845,2.351599,2.120315,2.276377,2.276377,15487339
2020-11-24,2.277241,2.466384,2.143795,2.267967,2.267967,25036626
2020-11-25,2.269485,2.477587,2.182777,2.270034,2.270034,24870951
2020-11-26,2.266534,2.291702,1.741493,1.903037,1.903037,33038223
2020-11-27,1.903335,1.970653,1.780363,1.857949,1.857949,13307808
2020-11-28,1.859825,1.939715,1.810710,1.888935,1.888935,11661883
2020-11-29,1.887913,1.943885,1.857227,1.915155,1.915155,6139511
2020-11-30,1.915142,2.013591,1.911930,1.966891,1.966891,8716571
2020-12-01,1.968321,2.130341,1.932264,1.976308,1.976308,12847022
2020-12-02,1.977266,2.187437,1.956700,2.115401,2.115401,15849828
2020-12-03,2.117117,2.221310,2.085030,2.100371,2.100371,18106122
2020-12-04,2.098602,2.112071,1.847345,1.855953,1.855953,9019864
2020-12-05,1.855968,1.980722,1.825494,1.978774,1.978774,7750781
2020-12-06,1.978658,1.983898,1.815854,1.854249,1.854249,7167230
2020-12-07,1.853451,1.895688,1.809485,1.831173,1.831173,6425070
2020-12-08,1.831222,1.831581,1.645106,1.665352,1.665352,11304051
2020-12-09,1.664622,1.674277,1.503676,1.662304,1.662304,10461119
2020-12-10,1.662414,1.665135,1.545240,1.574151,1.574151,6167983
2020-12-11,1.572366,1.576709,1.440602,1.444585,1.444585,8273918
2020-12-12,1.441590,1.537429,1.440706,1.490912,1.490912,7085231
2020-12-13,1.490715,1.642916,1.458118,1.565456,1.565456,8389349
2020-12-14,1.567968,1.622869,1.523698,1.591646,1.591646,8672052
2020-12-15,1.591030,1.799413,1.589263,1.760671,1.760671,19470080
2020-12-16,1.760092,1.787584,1.610018,1.783598,1.783598,18277631
2020-12-17,1.783892,1.803120,1.655217,1.678634,1.678634,15461477
2020-12-18,1.679024,1.706327,1.636987,1.698800,1.698800,7879397
2020-12-19,1.699267,1.764254,1.664263,1.668651,1.668651,9095045
2020-12-20,1.670714,1.684430,1.527714,1.563576,1.563576,9093229
2020-12-21,1.563775,1.618326,1.495151,1.541915,1.541915,8333991
2020-12-22,1.539609,1.574080,1.474485,1.490286,1.490286,11066565
2020-12-23,1.490220,1.510585,1.090161,1.205692,1.205692,16776307
2020-12-24,1.207705,1.383668,1.173007,1.362408,1.362408,9236939
2020-12-25,1.361496,1.452924,1.347236,1.445403,1.445403,9359549
2020-12-26,1.446014,1.447517,1.313424,1.324238,1.324238,6798656
2020-12-27,1.325074,1.408745,1.268250,1.303042,1.303042,12286531
2020-12-28,1.303993,1.517038,1.294349,1.515685,1.515685,12668150
2020-12-29,1.515462,1.727582,1.439720,1.674345,1.674345,26355259
2020-12-30,1.669694,1.680791,1.529833,1.535457,1.535457,12663616
2020-12-31,1.535606,1.550610,1.430263,1.510898,1.510898,12763260
2021-01-01,1.509775,1.859656,1.502038,1.842084,1.842084,25722549
2021-01-02,1.845586,1.989295,1.721482,1.799275,1.799275,31671064
2021-01-03,1.799902,2.364981,1.799902,2.161752,2.161752,55073422
2021-01-04,2.162412,2.485097,1.876342,2.485097,2.485097,59955405
2021-01-05,2.490982,2.502616,2.077742,2.157217,2.157217,50555207
2021-01-06,2.159626,2.185892,1.907585,1.929217,1.929217,50263975
2021-01-07,1.936586,2.611831,1.933043,2.372745,2.372745,159870278
2021-01-08,2.368740,3.779320,2.180929,3.219887,3.219887,206412154
2021-01-09,3.223541,3.662788,2.938307,3.385382,3.385382,91906875
2021-01-10,3.390026,3.733551,3.196235,3.466111,3.466111,62766977
2021-01-11,3.461065,3.513571,2.597124,3.108090,3.108090,82877500
2021-01-12,3.103688,3.844416,3.080035,3.613398,3.613398,73484689
2021-01-13,3.628383,3.628825,3.274921,3.513782,3.513782,57994893
2021-01-14,3.516036,3.542866,3.181974,3.278164,3.278164,59283112
2021-01-15,3.280399,3.435922,2.985191,3.250161,3.250161,45331739
2021-01-16,3.248934,3.703232,3.248934,3.447055,3.447055,68035606
2021-01-17,3.434870,3.965372,3.319746,3.818139,3.818139,85407766
2021-01-18,3.822131,4.147920,3.655761,3.795515,3.795515,70601713
2021-01-19,3.792043,4.031449,3.609023,3.641866,3.641866,44547768
2021-01-20,3.635575,3.737003,3.344084,3.723578,3.723578,46698656
2021-01-21,3.721670,3.734326,2.982696,2.990536,2.990536,43834765
2021-01-22,2.989920,3.497146,2.540986,3.346229,3.346229,63361382
2021-01-23,3.341035,3.597302,3.315762,3.504112,3.504112,27904470
